Notthingham;0 - 2;Tennis Club Chalon 
Les Jeunots;0 - 5;Pipo 
Galactiques;2 - 3;Bratislava 
Porto;6 - 0;Marseille 
Notthingham;1 - 3;Les Jeunots 
Tennis Club Chalon;0 - 4;Pipo 
Galactiques;3 - 1;Porto 
Bratislava;1 - 3;Marseille 
Notthingham;2 - 3;Pipo 
Tennis Club Chalon;6 - 1;Les Jeunots 
Galactiques;6 - 1;Marseille 
Bratislava;2 - 3;Porto 
Notthingham;4 - 2;Galactiques 
Tennis Club Chalon;0 - 0;Bratislava 
Les Jeunots;1 - 5;Porto 
Pipo;4 - 0;Marseille 
Notthingham;1 - 2;Bratislava 
Tennis Club Chalon;2 - 4;Galactiques 
Les Jeunots;3 - 2;Marseille 
Pipo;2 - 1;Porto 
Notthingham;2 - 1;Porto 
Tennis Club Chalon;3 - 2;Marseille 
Les Jeunots;0 - 1;Galactiques 
Pipo;5 - 0;Bratislava 
Notthingham;4 - 3;Marseille 
Tennis Club Chalon;4 - 0;Porto 
Les Jeunots;1 - 1;Bratislava 
Pipo;2 - 4;Galactiques 
